jealand,	জ্যালান্ড,	জিল্যান্ড,	
kaantojir,	কান্তজীর,	কান্তজির,	
chabir,	ছবির,	চাবির,	
geejeeteeda,	গেজিটেড,	গেজেটেড,	
baibasthar,	ব্যবস্থার,	ব্যবস্থার,	
bondiira,	বন্দীরা,	বন্দীরা,	
jonmat,	জন্মাত,	জন্মাত,	
dharabahiktite,	ধররাবাকিতি,	ধারাবাহিকটিতে,	
shnaipara,	স্নাইপার,	স্নাইপার,	
notti,	নটটি,	নোটটি,	
taatey,	তাটে,	তাতে,	
mithener,	মিঠেনের,	মিথেনের,	
zeland,	জেল্যান্ড,	জিল্যান্ড,	
grambaasheeo,	গ্রামবাশীও,	গ্রামবাসীও,	
spredashita,	স্প্রাদশিত,	স্প্রেডশীট,	
kheley,	খেলে,	খেলে,	
karmoi,	কর্মই,	কর্মই,	
bhittiteow,	ভিত্তিতেও,	ভিত্তিতেও,	
shainyader,	সৈন্যদের,	সৈন্যদের,	
konisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
sharok,	শররক,	স্মারক,	
brander,	ব্র্যান্ডের,	ব্রান্ডের,	
yaq,	যয়,	ইয়াক,	
qoyeri,	কোয়ারি,	কোয়েরি,	
heepataitisa,	হিপাটাসিটিস,	হেপাটাইটিস,	
damanmulok,	দামান্লমূলক,	দমনমূলক,	
eoki,	ইকোি,	এওকি,	
onodhikar,	অনধিকার,	অনধিকার,	
omittrakkhor,	অমিত্রার্ষক,	অমিত্রাক্ষর,	
romnar,	রোমার,	রমনার,	
nariderke,	নারীদেরকে,	নারীদেরকে,	
hitoishi,	হিটোসই,	হিতৈষী,	
kantojir,	কান্তজীর,	কান্তজির,	
chhathke,	ছাঠকে,	ছাতকে,	
relance,	রিলেন্স,	রিলায়েন্স,	
bagdade,	বাগদাদে,	বাগদাদে,	
ancholsomuher,	আঞ্চলসমূহের,	অঞ্চলসমূহের,	
drissoke,	দৃশ্যকে,	দৃশ্যকে,	
leaders,	লিডার্স,	লিডার্স,	
soinyosaho,	সৈন্যসহ,	সৈন্যসহ,	
bagdady,	বাগডাযি,	বাগদাদী,	
asommati,	অসম্মতি,	অসম্মতি,	
inphormation,	ইনফর্মেশন,	ইনফরমেশন,	
aakik,	আকিক,	আকিক,	
sajja,	সাজ্য,	সজ্জা,	
tat,	তাট,	তাত,	
potcheetrer,	পতচিত্রের,	পটচিত্রের,	
nischay,	নিশ্চে,	নিশ্চয়,	
akkhunno,	অক্ষুণ্ন,	অক্ষুণ্ণ,	
sahooseekotar,	সহসিক্তকতার,	সাহসিকতার,	
niketon,	নিকেটন,	নিকেতন,	
jwoluk,	জ্বুলক,	জ্বলুক,	
sadena,	সাদেন,	সাডেন,	
bohudeen,	বহুদীন,	বহুদিন,	
prottokhovabe,	প্রত্যক্ষাবে,	প্রত্যক্ষভাবে,	
anchalgulir,	অঞ্চলগুলির,	অঞ্চলগুলির,	
byaboharkarir,	ব্যবহারকারির,	ব্যবহারকারীর,	
abahan,	আবহন,	আবাহন,	
netions,	নেটিযানস,	নেশনস,	
claud,	ক্লদ,	ক্লাউড,	
shcholashtic,	স্কললাস্টিক,	স্কলাস্টিক,	
futbolarra,	ফুটবলরা,	ফুটবলাররা,	
eshtonia,	এস্টোনিয়া,	এস্তোনিয়া,	
engil,	এঞ্জিল,	ইঞ্জিল,	
choudhoorider,	চৌধুরিরেদের,	চৌধুরীদের,	
mitrata,	মিত্রতা,	মিত্রতা,	
drishyer,	দৃশ্যের,	দৃশ্যের,	
okkhorke,	অক্ষরকে,	অক্ষরকে,	
sikkhaou,	শিক্ষুও,	শিক্ষাও,	
lakhindarer,	লকিষ্ণারের,	লখিন্দরের,	
aswastikor,	অস্বস্তিকর,	অস্বস্তিকর,	
atorkitey,	আতররককিতে,	অতর্কিতে,	
bilati,	বিলাটি,	বিলাতী,	
unsareer,	আনসারীর,	আনসারীর,	
samoshtigato,	সমস্তিগত,	সমষ্টিগত,	
rubi,	রুবি,	রুবী,	
soomita,	সুমিতা,	সুমিতা,	
hajarer,	হাজারের,	হাজারের,	
algorithm,	অ্যালগরিিম,	এলগরিদম,	
oocchoseeto,	উচ্চশিত,	উচ্ছসিত,	
stoonehenge,	স্টুনহিঙ্গে,	স্টোনহেঞ্জ,	
sahajlabhbhatar,	সাহাল্লভাতের,	সহজলভ্যতার,	
babona,	বাবনা,	বাবনা,	
manushder,	মানুষদের,	মানুষদের,	
aazaan,	আজান,	আজান,	
adhunik,	আধুনিক,	আধুনিক,	
dhojobhongo,	ধভভভঙ্গ,	ধ্বজভঙ্গ,	
dharagulor,	ধারাগুলোর,	ধারাগুলোর,	
nischitrupe,	নিশ্চিত্রূপে,	নিশ্চিতরূপে,	
jolorong,	জলোরং,	জলরঙ,	
ekla,	একলা,	একলা,	
chitronatyokar,	চিত্রনাট্যকার,	চিত্রনাট্যকার,	
shcholastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
sattweo,	সত্ত্বেও,	সত্ত্বেও,	
volapuq,	ভোলাপুক,	ভোলাপুক,	
liseensee,	লিসেন্সি,	লাইসেন্স,	
bhumijo,	ভূমিজ,	ভূমিজ,	
amontrito,	আমন্ত্রিত,	আমন্ত্রিত,	
horir,	হরির,	হরির,	
aoki,	অকু,	এওকি,	
danobder,	দানবদের,	দানবদের,	
dollu,	দলল,	ডলু,	
gronthoo,	গ্রন্থ,	গ্রন্থও,	
nikeela,	নিকিলা,	নিকেল,	
breq,	ব্রেক,	ব্রেক,	
purbanchale,	পূর্বনশ্বলে,	পূর্বাঞ্চলে,	
tophaat,	তফাত,	তফাৎ,	
stonehenge,	স্টনেহিঙ্গে,	স্টোনহেঞ্জ,	
janasamaj,	জনসমাজ,	জনসমাজ,	
poorohitder,	পুরহিতদের,	পুরোহিতদের,	
songbadmadhyomgulote,	সংবাদমামলূতে,	সংবাদমাধ্যমগুলোতে,	
faridi,	ফরিদি,	ফরিদী,	
gandhike,	গান্ধিকে,	গান্ধীকে,	
nevatey,	নেভাতে,	নেভাতে,	
joonsa,	জনস,	জোন্স,	
rajtantre,	রাজনাত্ত্রে,	রাজতন্ত্রে,	
debete,	দেবেতে,	ডিবেট,	
chhotogolpe,	ছোটোগল্পে,	ছোটগল্পে,	
lokeson,	লোকেশন,	লোকেশন,	
ashonkai,	আসংকাই,	আশঙ্কাই,	
alkatra,	আলকাত্র,	আলকাতরা,	
shiramiksh,	শিরামিক্স,	সিরামিকস,	
saazano,	সাজান,	সাজানো,	
moshjidtike,	মশশিদ্তিকে,	মসজিদটিকে,	
batsmaner,	বাতসমানের,	ব্যাটসম্যানের,	
dhrubak,	ধ্রুবক,	ধ্রুবক,	
quari,	কুয়ারি,	কোয়েরি,	
neerbahi,	নির্বাহী,	নির্বাহি,	
kalenga,	কলেঙ্গ,	কালেঙ্গা,	
mookhomandoley,	মুখমণ্ডলে,	মুখমণ্ডলে,	
ammor,	আম্মর,	আমর,	
bandra,	বন্দ্রা,	বন্দীরা,	
baait,	বাইট,	বাইট,	
samosto,	সাসম্ত,	সমস্ত,	
bem,	বেম,	বিম,	
tookrokey,	তুকরোকে,	টুকরোকে,	
teennis,	টিনিস,	টেনিস,	
patenter,	পটেনটের,	পেটেন্টের,	
blyaka,	ব্লক,	ব্ল্যাক,	
atyachari,	অত্যাচারী,	অত্যাচারী,	
bossoben,	বসবেন,	বসবেন,	
nojder,	নজদের,	নজদের,	
paripaker,	পরিপাকের,	পরিপাকের,	
manee,	মানি,	মানে,	
inziniyarsa,	ইন্জিনিস্র,	ইঞ্জিনিয়ার্স,	
sobche,	সবছে,	সবচে,	
beam,	বিম,	বিম,	
armastram,	আর্মস্ত্রাম,	আর্মস্ট্রং,	
pra,	প্র,	প্রো,	
daakteekite,	ডাকটিকিতে,	ডাকটিকিটে,	
sanghorsheek,	সংহর্ষিক,	সাংঘর্ষিক,	
goteerodh,	গতিরোধ,	গতিরোধ,	
pooroheetke,	পুরহীতকে,	পুরোহিতকে,	
ooporoshtho,	অপরস্থ,	উপরস্থ,	
norfolq,	নরফলক,	নরফোক,	
machder,	মাছদের,	মাছদের,	
bongraam,	বংগ্রাম,	বনগ্রাম,	
grambaasi,	গ্রামবাসী,	গ্রামবাসী,	
ja,	জো,	জ্যা,	
keengdom,	কিংডম,	কিংডম,	
windows,	উইন্ডোজ,	উইন্ডোস,	
shoreef,	শরীফ,	শরিফ,	
mukhobandho,	মুখবন্ধ,	মুখবন্ধ,	
juktarashtreo,	যুক্তরাস্ট্রের,	যুক্তরাষ্ট্রেও,	
rotheen,	রথিন,	রথীন,	
cheelona,	চিলনা,	ছিলনা,	
aziboner,	আজিবনের,	আজীবনের,	
bheenasa,	ভেনাস,	ভেনাস,	
uporital,	উপরেতল,	উপরিতল,	
sbajaner,	স্বজনের,	স্বজনের,	
larson,	লার্সন,	লারসন,	
zeans,	জিনস,	জিন্স,	
prema,	প্রেম,	প্রাইম,	
jackshan,	যক্ষণ,	জ্যাকসন,	
dijnii,	দিজনী,	ডিজনী,	
lyaanding,	ল্যান্ডিং,	ল্যান্ডিং,	
jaubanbati,	যৌবনবতি,	যৌবনবতী,	
onchalti,	অঞ্চলটি,	অঞ্চলটি,	
musalmanera,	মুসাম্নানের,	মুসলমানেরা,	
ghatiti,	ঘাটিটি,	ঘাঁটিটি,	
sukkhma,	সূক্ষ্ম,	সুক্ষ্ম,	
dharai,	ধরাই,	ধারাই,	
dhas,	ধাস,	ধস,	
platee,	প্লটট,	প্লেট,	
agomoney,	অগমনে,	আগমনে,	
stonaheenja,	স্তনহানিজ্য,	স্টোনহেঞ্জ,	
creedit,	ক্রিডিট,	ক্রেডিট,	
nochiketa,	নচিকেত,	নচিকেতা,	
adhit,	অধিত,	অধীত,	
langhaner,	লঙ্ঘনের,	লংঘনের,	
udvabane,	উদ্ভবনে,	উদ্ভাবনে,	
reeliancee,	রিলিয়েন্স,	রিলায়েন্স,	
lidara,	লিডার,	লিডার,	
horeedware,	হরিদবারে,	হরিদ্বারে,	
ashocheton,	অস্চেতন,	অসচেতন,	
byaboharkareeke,	ব্যবহারকারী,	ব্যবহারকারীকে,	
emergenci,	এমের্জান্সি,	এমার্জেন্সি,	
tuneta,	টুনটট,	টুনাইট,	
gaiche,	গাইছে,	গাইছে,	
cholocchitroi,	চলচিত্র,	চলচ্চিত্রই,	
parijan,	পরিজন,	পরিজন,	
drishyotir,	দৃশ্যটির,	দৃশ্যটির,	
dakteekiter,	দাক্তিকিতের,	ডাকটিকিটের,	
abheedhanik,	আভিধানিক,	অভিধানিক,	
bibade,	বিবাদে,	বিবাদে,	
komatei,	কমাতেই,	কমাতেই,	
pacchen,	পাঁছেন,	পাচ্ছেন,	
kartona,	কর্তন,	করতনা,	
henna,	হেনা,	হেনা,	
iyaqa,	ইয়াক,	ইয়াক,	
promothesh,	প্রমথেস,	প্রমথেশ,	
laagche,	লাগছে,	লাগছে,	
soommo,	সুম্ম,	সুমো,	
surke,	সুরকে,	সুরকে,	
lajiker,	লাজিকের,	লজিকের,	
skyirt,	স্কীয়ার্ট,	স্কার্ট,	
ghaghat,	ঘাঘাা,	ঘাঘট,	
bbosonte,	বসন্তে,	বসন্তে,	
mononiitoder,	মননিিতাদের,	মনোনীতদের,	
spashtatai,	স্পষ্টটাটি,	স্পষ্টতই,	
mosjidti,	মসিদদি,	মসজিদটি,	
obharbheeu,	অভার্ভিও,	ওভারভিউ,	
aakaabar,	আকাবার,	আকাবার,	
laagto,	লাগটো,	লাগতো,	
sangbadmadhyamgulote,	সংবাদমাম্যলে,	সংবাদমাধ্যমগুলোতে,	
darada,	দারাদ,	দারদা,	
tyapa,	ট্যাপ,	ট্যাপ,	
postay,	পোস্টে,	পোস্টে,	
daktikit,	ডাক্তিকিট,	ডাকটিকিট,	
onekeryi,	অনেকারই,	অনেকেরই,	
santoshe,	সান্ত্ষে,	সন্তোষে,	
aabahan,	আবাহন,	আবাহন,	
phorex,	ফরেক্স,	ফরেক্স,	
sofi,	সফি,	সোফি,	
sanaktokoroner,	সনাক্তকরণের,	সনাক্তকরণের,	
karmosansthaner,	কর্মসংস্থানের,	কর্মসংস্থানের,	
kando,	কাণ্ড,	কাণ্ড,	
ganokantho,	গণকণ্ঠ,	গণকণ্ঠ,	
koda,	কোড,	কোড,	
khaambaa,	খাম্বা,	খাম্বা,	
rk,	এরকি,	আরকে,	
ojowno,	অযওন্ন,	অযৌন,	
songkoloney,	সংকোলনে,	সংকলনে,	
aunty,	অ্যান্টি,	আন্টি,	
baikalyo,	বৈকল্য,	বৈকল্য,	
